fid,X,Y,CITY_NAME,CNTRY_NAME,POP,POP_RANK,max_dtw
"1338","101.7649984168","36.645003073237",Xining,China,"1628000","2","0.52336"
"1339","103.599999383712","36.1130040548261",Lanzhou,China,"3267000","2","0.52068"
"1340","112.361238309743","34.6713479819475",Luoyang,China,"1982000","2","0.54044"
"1341","108.883359428923","34.2657000397986",Xi'an,China,"6303000","1","0.60531"
"1342","109.808001359685","40.6590030049313",Baotou,China,"2319000","2","0.53963"
"1343","104.07099632637","30.6700019237266",Chengdu,China,"9074000","1","0.67069"
"1344","106.522695316454","29.5441020764973",Chongqing,China,"12479000","1","0.68395"
"1345","106.700004437783","26.5719960328344",Guiyang,China,"3226000","2","0.62015"
"1346","102.701997343351","25.0509960064007",Kunming,China,"4371000","2","0.54824"
"1347","108.296001327533","22.8380040503101",Nanning,China,"2632000","2","0.59115"
"1348","104.933340444329","22.8333329430662",Ha Giang,Vietnam,"0","0","0.61308"
"1349","106.268004381316","22.6639979828161",Cao Bang,Vietnam,"0","0","0.49939"
"1350","103.950000301314","22.500000036054",Lao Cai,Vietnam,"0","0","0.56678"
"1351","121.598199398832","39.0317219258889",Dalian,China,"4067000","2","0.64077"
"1352","120.434130414675","36.1483559979423",Qingdao,China,"4935000","2",
"1353","119.304000308669","26.0710020327837",Fuzhou,China,"3830000","2",
"1354","121.506723341781","25.0350930267656",Taipei,China,"3001000","2","0.4998"
"1355","120.670281388072","24.1436429809179",T'aichung,China,"1404000","2","0.53483"
"1356","120.209688403058","23.0159790778832",T'ainan,China,"932000","3","0.49371"
"1357","120.286053319783","22.608018005148",Kaoshsiung,China,"1723000","2",
"1358","118.769004381193","32.04800106651",Nanjing,China,"7732000","1","0.77156"
"1359","117.276003362452","31.8609990708194",Hefei,China,"4549000","2","0.69249"
"1360","121.473000419805","31.2479999383934",Shanghai,China,"26121000","1","0.93007"
"1361","114.279003280991","30.5730000363321",Wuhan,China,"11641000","1","0.56522"
"1362","120.165003347055","30.2529960106386",Hangzhou,China,"7674000","1","0.72782"
"1363","115.889004390871","28.6710030100529",Nanchang,China,"3185000","2","0.53747"
"1364","113.000004406269","28.0999980038502",Changsha,China,"4473000","2","0.56227"
"1365","113.293611306089","23.0961870216222",Guangzhou,China,"14167000","1","0.52936"
"1366","123.383052363188","41.8021649490872",Shenyang,China,"6772000","1","0.54256"
"1367","122.977008418643","41.1152490651885",Anshan,China,"2086000","2","0.55759"
"1368","116.388036416661","39.9061890457427",Beijing,China,"20781000","1","0.46923"
"1369","118.180206406485","39.6154440203225",Tangshan,China,"2500000","2","0.47274"
"1370","117.18500439479","39.1280039593664",Tianjin,China,"10916000","1","0.50477"
"1371","114.559713377326","38.077092039335",Shijiazhuang,China,"3786000","2","0.49686"
"1372","112.552002410938","37.8929969295993",Taiyuan,China,"4519000","2","0.50414"
"1373","116.966997380739","36.6560009517342",Jinan,China,"4821000","2","0.50605"
"1374","113.641785284096","34.7576849439668",Zhengzhou,China,"5453000","1","0.51669"
"1375","131.960439440462","43.1299980515961",Vladivostok,Russia,"624281","3",
"1376","129.783996370794","41.7840029520225",Ch'ongjin,North Korea,"0","0",
"1377","127.433997349184","36.3240000226938",Taejon,South Korea,"1517902","2","0.59912"
"1378","127.133325290025","35.8166610481876",Chonju,South Korea,"0","0","0.66863"
"1379","129.054987401444","35.1579960381113",Pusan,South Korea,"3400027","2",
"1380","126.908001415989","35.1530010793465",Kwangju,South Korea,"1493417","2","0.73394"
"1381","128.591001339485","35.8640009585328",Taegu,South Korea,"2449789","2","0.64832"
"1382","127.460997332028","39.1500000473278",Wonsan,North Korea,"0","0","0.56216"
"1383","125.75700034542","39.0290040222725",P'yongyang,North Korea,"3049000","2","0.53441"
"1384","125.762004405786","38.5070040229926",Sariwon,North Korea,"0","0","0.54015"
"1385","125.714997283079","38.0400030142497",Haeju,North Korea,"0","0","0.57807"
"1386","126.566001302334","37.9690019193657",Kaesong,North Korea,"0","0","0.5818"
